FE1,FE2,FE3,FE4,FE5,FE6,FE7,FE8,FE9,FE10,FE11,FE12,FE13,FE14,FE15,FE16,FE17,FE18,FE19,FE20,FE21,FE22,FE23,FE24,FE25,FE26,FE27,FE28,FE29,FE30,FE31,FE32,Age,Race,Gender,Education,Industry,Occupation,Hours,Years,WorkSituation,OOP1,OOP2,OOP3,OOP4,OOP5,FO1,FO2,FO3,FO4,FO5,FO6,FO7,FO8,FO9,FO10,FO11,FO12,FO13,FO14,FO15,FO16,FO17,FO18,FO19,FO20,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,GO1,GO2,GO3,GO4,GO5,GO6,GO7,GO8,GO9,GO10,GO11,GO12,GO13,class,ID
7,7,1,6,6,5,5,7,6,2,6,7,2,1,7,7,3,6,5,5,3,2,5,5,2,1,7,4,1,3,5,5,20,1,2,3,2,office manager of a high end,40,19,6,7,7,5,6,6,4,5,5,5,5,5,4,3,5,5,5,4,3,3,4,2,2,3,3,4,4,5,5,5,5,4,4,4,2,3,4,3,1,1,1,2,1,1,1,3,5,2,2,2,1,1,5,3,5,5,5,5,3,408
6,2,7,3,1,2,1,1,1,7,1,1,7,7,2,1,7,3,2,7,7,7,7,6,2,2,7,1,2,2,1,5,18,2,3,4,8,Stocker,40,15,1,7,7,7,7,7,4,4,4,4,4,5,5,2,5,5,5,5,5,5,5,4,2,4,2,3,4,4,4,4,4,4,4,3,2,3,4,4,2,2,2,2,2,2,2,7,7,7,5,6,2,2,2,5,3,1,1,2,1,209
6,6,2,6,6,6,6,6,6,6,7,7,1,1,6,6,2,6,6,7,7,7,7,7,1,2,6,2,1,2,6,6,21,1,1,5,8,IT Department Manager,45,20,6,6,6,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,6,5,2,2,5,5,2,2,2,2,3,140
6,6,2,6,6,5,5,5,3,4,6,6,2,2,4,6,2,6,6,4,4,4,4,6,2,2,3,1,1,2,6,4,21,1,2,5,10,Data Analyst,32,15,1,4,4,3,3,3,4,4,4,4,4,5,5,4,4,3,4,4,4,4,4,4,4,4,4,5,3,5,4,4,5,4,3,4,2,2,2,2,2,2,2,2,1,2,1,7,6,7,5,6,3,4,4,4,2,2,2,2,3,386
5,2,6,5,2,2,2,2,2,6,4,5,4,4,4,2,7,2,2,2,2,2,2,2,6,7,1,4,4,4,2,2,26,1,1,6,3,educator,40,22,6,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,4,2,2,2,2,2,2,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,5,5,5,6,5,5,5,5,5,6,5,2,3,3,2,5,5,4,5,1,24
7,7,7,7,7,5,5,7,5,1,6,4,1,1,6,6,4,5,6,6,5,5,4,6,1,1,5,3,1,1,7,6,35,1,1,2,9,Restaurant General Manager,48,34,1,5,6,1,5,2,4,4,4,4,4,5,4,2,5,4,3,3,3,3,2,4,4,4,4,4,4,5,5,5,5,4,3,5,3,4,3,4,4,3,1,3,3,3,3,7,7,7,6,7,2,3,2,2,1,1,1,1,3,177
7,7,1,7,7,6,6,7,6,2,7,7,1,1,7,6,1,7,7,6,7,7,5,7,1,1,6,1,1,1,7,7,18,1,1,4,9,"Information Technology, Hardw",45,21,6,5,6,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,5,5,5,5,5,5,5,5,5,4,5,3,4,4,3,1,1,1,1,1,1,1,7,6,7,6,7,2,3,5,3,2,1,2,3,3,358
3,3,6,3,4,4,3,3,2,7,3,4,5,4,4,4,4,4,4,6,6,6,6,4,5,5,2,3,2,2,4,2,33,1,1,3,8,SALES MANAGER,28,33,6,6,6,5,6,6,4,4,4,4,3,5,5,3,4,4,5,4,4,4,3,3,3,4,3,4,4,5,4,5,5,4,4,4,3,4,3,3,4,3,3,3,2,3,2,6,7,6,5,5,3,4,5,5,4,4,4,5,1,89
6,6,2,6,6,4,4,3,4,5,6,6,3,2,2,6,2,6,5,2,2,2,3,5,2,1,7,6,2,6,5,4,24,4,1,5,3,instructional technologist,40,22,1,3,4,3,3,2,4,4,4,3,3,4,4,3,4,4,3,5,4,4,5,3,3,5,4,4,4,4,4,4,5,4,3,4,2,3,2,3,2,3,3,4,3,2,2,4,5,4,3,3,2,3,2,3,5,5,6,5,2,490
7,6,1,7,7,7,7,7,6,1,7,6,1,1,7,7,1,7,6,4,2,6,6,6,1,1,5,2,1,1,7,6,43,1,2,3,10,corporate travel agent,43,,5,5,5,2,5,2,4,2,2,3,4,4,4,4,4,4,2,2,2,2,2,4,3,4,4,4,4,5,5,5,5,4,4,5,5,4,5,4,3,3,2,2,2,2,2,2,1,1,1,2,4,3,3,2,2,7,5,6,3,34
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,5,3,1,1,7,7,45,1,2,4,10,manager,40,18,6,5,6,1,7,3,4,4,4,5,5,5,5,4,5,4,4,4,5,5,4,4,2,4,4,4,5,5,5,5,5,5,4,5,4,3,4,3,1,2,1,1,1,1,1,6,7,6,7,7,1,3,5,3,1,1,1,1,3,123
6,6,2,6,6,6,6,6,6,1,6,6,1,1,6,6,2,6,6,6,6,6,6,5,3,2,6,2,2,2,6,6,42,1,2,4,8,retail,60,20,1,4,4,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,4,4,5,4,4,3,4,3,3,3,3,3,3,3,4,6,6,3,2,3,4,3,4,3,3,3,3,3,228
6,7,1,7,7,6,7,7,6,1,7,7,1,1,7,7,1,6,7,5,5,5,4,5,1,1,7,1,2,1,6,5,25,1,1,5,2,video editor manager,40,23,6,2,3,2,1,2,4,3,4,3,4,3,5,2,3,3,4,3,4,3,4,4,3,3,4,4,2,4,3,3,3,4,3,3,3,4,2,3,4,5,5,6,4,5,5,4,5,4,4,5,2,3,3,5,5,4,5,5,3,1
6,2,6,2,2,3,3,3,3,3,3,3,6,6,2,4,5,5,4,5,5,5,5,3,5,5,3,3,4,3,3,2,52,1,1,5,3,Director,40,50,6,6,6,6,6,7,2,2,2,2,2,4,3,2,4,2,4,2,2,2,2,3,3,3,3,3,2,4,3,4,4,4,3,3,3,4,3,2,3,5,5,5,4,3,2,5,5,5,5,5,4,3,4,5,4,4,4,5,1,57
6,5,2,6,6,4,4,3,2,7,5,4,6,4,3,4,5,2,2,4,4,4,7,5,3,2,7,2,1,2,5,2,25,1,2,2,9,Restaurant FOH Supervisor,40,25,1,5,6,2,6,6,2,2,2,2,2,4,4,2,4,4,5,5,4,4,3,5,4,5,5,5,3,4,5,5,5,4,3,5,3,2,2,1,3,1,1,1,2,1,1,5,4,5,6,5,2,1,4,3,2,1,2,2,2,349
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,5,5,6,5,7,1,1,7,2,1,1,7,7,21,1,2,5,3,Consultant,40,,1,5,6,2,6,2,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4,3,5,5,5,4,5,5,5,5,4,4,4,4,4,4,3,3,3,3,4,3,3,3,7,7,7,7,7,3,5,4,4,2,2,2,3,3,16
7,7,1,7,7,7,7,7,7,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7,26,1,2,2,8,sales manager,40,20,6,5,6,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,3,4,3,3,2,2,2,2,1,1,1,5,5,4,5,4,2,3,2,2,4,4,4,4,3,472
7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7,7,6,6,7,1,1,7,1,1,1,7,7,44,1,4,7,3,teacher,42,39,1,1,4,1,1,1,5,5,5,5,5,5,5,3,4,5,3,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,4,4,3,3,2,1,1,1,1,1,1,1,1,7,7,7,7,7,1,1,1,1,1,1,1,1,3,154
6,6,2,6,6,6,6,6,6,2,6,6,2,2,6,6,2,6,6,6,6,6,6,6,2,2,6,2,2,2,6,6,47,1,2,4,4,Radiographer,40,35,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,3,4,5,3,5,3,2,2,2,2,4,2,2,5,5,5,5,5,3,3,5,3,3,3,3,3,3,252
